No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
133,"1,4-Butanediol, diacetate",7.113943352,628-67-1,CC(=O)OCCCCOC(=O)C,,,NIST,diol,Polyfunctional / highly functionalized
134,"1,4-C6H4(OCH3)2",9.857332496,150-78-7,,,,NIST,alkane,Aliphatic hydrocarbons
135,"1,4-Diazabicyclo[2.2.2]octane",9.4277,280-57-9,C1CN2CCN1CC2,,,https://doi.org/10.1016/j.jhazmat.2025.138303,halogeneted,Halogenated organics
136,"1,4-Dimethoxybenzene",9.857332496,75626-18-5,COc1ccc(OC)cc1,,,https://doi.org/10.1021/acs.est.1c04326,alcohol,Oxygenated organics
137,"1,4-Dimethoxybenzene",9.857332496,150-78-7,COC1=CC=C(C=C1)OC,>4,,https://doi.org/10.1021/j100592a013,diol,Polyfunctional / highly functionalized
138,"1,4-Dimethoxybenzene",9.857332496,150-78-7,COc1ccc(OC)cc1,7,,doi.org/10.1016/j.watres.2012.06.006,alcohol,Oxygenated organics
139,"1,4-Dimethoxybenzene",9.8573,150-78-7,COC1=CC=C(C=C1)OC,,,https://doi.org/10.1016/j.chemosphere.2023.138884,diol,Polyfunctional / highly functionalized
140,"1,4-Dimethoxybenzene",9.8573,150-78-7,COC1=CC=C(C=C1)OC,,,https://doi.org/10.1016/j.jhazmat.2025.137907,diol,Polyfunctional / highly functionalized
141,"1,4-Dimethylbenzene",9.431363764,1214386-99-8,Cc1ccc(C)cc1,,,https://doi.org/10.1021/acs.est.1c04326,benzene,Aromatic & PAHs
142,"1,4-Dimethylbenzene",9.4314,106-42-3,CC1=CC=C(C=C1)C,,,https://doi.org/10.1016/j.jhazmat.2025.137950,alkane,Aliphatic hydrocarbons
143,"1,4-Dioxane",7.86332286,54841-74-6,C1COCCO1,,,10.1002/kin.550250307,alcohol,Oxygenated organics
144,"1,4-Dioxane",7.71432976,123799-84-8,C1COCCO1,,,https://doi.org/10.1021/acs.est.1c04326,alcohol,Oxygenated organics
145,"1,4-dimethoxy-benzene",9.857332496,150-78-7,COc1ccc(OC)cc1,7,20.0,doi.org/10.1016/j.watres.2012.06.006,alcohol,Oxygenated organics
146,"1,4-dioxane",7.857332496,71348-41-9,C1COCCO1,7~8,,https://doi.org/10.1002/kin.550210802,alcohol,Oxygenated organics
147,"1,4-dioxane",7.612783857,649539-03-7,C1CCOOC1,7~8,,https://doi.org/10.1021/j100176a055,ester,Oxygenated organics
148,"1,4-dioxane",7.612783857,54841-74-6,C1COCCO1,7,23.0,10.1002/kin.550250307,alcohol,Oxygenated organics
149,"1,4-dioxane",7.819543936,87998-96-7,C1COCCO1,7~8,,https://doi.org/10.1016/j.radphyschem.2012.01.025,alcohol,Oxygenated organics
150,"1,4-dioxane",7.611723308,54841-74-6,C1COCCO1,7,25.0,10.1002/kin.550250307,alcohol,Oxygenated organics
151,"1,4-dioxane",7.204119983,54841-74-6,C1COCCO1,7.5,20.0,10.1002/kin.550250307,alcohol,Oxygenated organics
152,"1,4-dioxane",7.204119983,54841-74-6,C1COCCO1,7~8,,10.1021/j100495a028,alcohol,Oxygenated organics
153,"1,4-dioxane (p-C4H802)",7.496929648,25136-55-4,C1COCCO1,7.5,9.4,10.1002/kin.550250307,alcohol,Oxygenated organics
154,"1,4–Dimethoxybenzene",9.8573,150–78–7,COc1cccc(OC)c1,,,https://doi.org/10.4236/aim.2019.95029,alcohol,Oxygenated organics
155,"1,5-Diacetoxypentane",7.633468456,6963-44-6,CC(=O)OCCCCCOC(=O)C,,,NIST,diol,Polyfunctional / highly functionalized
156,"1,5-dimethylpyrimidine-2,4-dione",9.699,4160-72-9,CC1=CN(C(=O)NC1=O)C,,,https://doi.org/10.1016/j.jhazmat.2025.138242,cyclo,Aromatic & PAHs
157,"1,5-dimethylpyrimidine-2,4-dione",9.699,4160-72-9,CC1=CN(C(=O)NC1=O)C,,,https://doi.org/10.1016/j.jhazmat.2025.138281,cyclo,Aromatic & PAHs
158,"1,5-dimethylpyrimidine-2,4-dione",9.699,4160-72-9,CC1=CN(C(=O)NC1=O)C,,,https://doi.org/10.1016/j.jhazmat.2025.138050,cyclo,Aromatic & PAHs
159,"1,5-dimethylpyrimidine-2,4-dione",9.698970004,122353-48-4,CN1C=C(C)C(=O)NC1=O,,,https://doi.org/10.1021/acs.est.1c04326,halogeneted,Halogenated organics
160,"1,5-dimethylpyrimidine-2,4-dione",9.699,4160-72-9,CC1=CN(C(=O)NC1=O)C,,,https://doi.org/10.1016/j.jhazmat.2025.138063,cyclo,Aromatic & PAHs
