No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
1079,Octylphenol,5.44,27193-28-8,CCCCCCCCC1=CC=CC=C1O,8.6,,"http://://WOS:000270014100020,https://doi.org/10.1020/",cyclo,Aromatic & PAHs
1080,Octylphenol,5.27,27193-28-8,CCCCCCCCC1=CC=CC=C1O,8.2,,"http://://WOS:000270014100020,https://doi.org/10.1019/",cyclo,Aromatic & PAHs
1081,Oleic acid,6.0,112-80-1,CCCCCCCC/C=C\CCCCCCCC(=O)O,2.5 - 3.1,,NIST,alkane,Aliphatic hydrocarbons
1082,Omethoate,-1.4,1219804-92-8,CNC(=O)CSP(=O)(OC)OC,,,https://doi.org/10.1016/j.jece.2024.112473,"sulfide, disulfide",Sulfur-containing organics
1083,Orange G,-0.3095,36-15-8​ ,C1=CC=C(C=C1)N=NC2=C(C=CC3=CC(=CC(=C32)S(=O)(=O)[O-])S(=O)(=O)[O-])O.[Na+].[Na+],,,10.1016/j.chemosphere.2014.05.068,diol,Polyfunctional / highly functionalized
1084,Ortho-phenylphenol,5.46,90-43-7,Oc1ccccc1-c1ccccc1,,,https://doi.org/10.1016/j.jece.2024.112473,alcohol,Oxygenated organics
1085,Oxalate,-1.397940009,2437-29-8,C(=O)(C(=O)[O-])[O-],,,https://doi.org/10.1016/0043-1354(83)90099-4,halogeneted,Halogenated organics
1086,Oxamyl,2.792391689,23135-22-0,CNC(=O)ON=C(C(=O)N(C)C)SC,4.5,,10.1016/0043-1354(91)90155-J,"sulfide, disulfide",Sulfur-containing organics
1087,Oxamyl,2.792391689,23135-22-0,CNC(=O)ON=C(C(=O)N(C)C)SC,,,10.1016/0043-1354(91)90155-J,"sulfide, disulfide",Sulfur-containing organics
1088,Oxazepam,0.0,604-75-1,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,,,doi.org/10.1016/j.watres.2012.06.006,cyclo,Aromatic & PAHs
1089,Oxybenzone,3.4795,131-57-7,COc1ccc(C(=O)c2ccccc2)c(O)c1,,,https://doi.org/10.1016/j.jece.2024.112473,alcohol,Oxygenated organics
1090,Oxybenzone,6.18,131-57-7,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,7,,https://doi.org/10.1016/j.jhazmat.2017.05. 16,alcohol,Oxygenated organics
1091,PBN,5.0,3376-24-7,[O-]/[N+](C(C)(C)C)=C\C1=CC=CC=C1,,,NIST,cyclo,Aromatic & PAHs
1092,Paracetamol,6.41,103-90-2,CC(=O)NC1=CC=C(C=C1)O,7.2,,https://doi.org/10.1016/j.seppur.2014.09.004.,alkane,Aliphatic hydrocarbons
1093,Penicillin G,3.680621,8069-87-2,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1 C(=O)O,7,,https://doi.org/10.1016/j.jece.2024.112473,"sulfide, disulfide",Sulfur-containing organics
1094,Pentylacetate,0.43,620-11-1,CCCCCOC(C)=O,,,https://doi.org/10.1016/j.jece.2024.112473,alcohol,Oxygenated organics
1095,Phe,3.113943352,3617-44-5,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,7,,NIST,halogeneted,Halogenated organics
1096,Phenacetin,3.202059991,​62-44-2,CCOC1=CC=C(C=C1)NC(=O)C,7,,10.1016/j.chemosphere.2009.05.035,alcohol,Oxygenated organics
1097,Phenacetin,2.33243846,​62-44-2,CCOC1=CC=C(C=C1)NC(=O)C,2.5,,10.1016/j.chemosphere.2009.05.035,alcohol,Oxygenated organics
1098,Phenacetin,3.041392685,62-44-2,CCOC1=CC=C(C=C1)NC(=O)C,5,,10.1016/j.chemosphere.2009.05.035,alcohol,Oxygenated organics
1099,Phenacetin,3.204119983,​62-44-2,CCOC1=CC=C(C=C1)NC(=O)C,9,,10.1016/j.chemosphere.2009.05.035,alcohol,Oxygenated organics
1100,Phenanthrene,3.77815125,1985/1/8,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,3,,NIST,cyclo,Aromatic & PAHs
1101,Phenanthrene,4.0,1985/1/8,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,7,,NIST,cyclo,Aromatic & PAHs
1102,Phenanthrene,4.681241237,1985/1/8,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,7,,NIST,cyclo,Aromatic & PAHs
1103,Phenanthrene,3.477121255,1985/1/8,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,9,,NIST,cyclo,Aromatic & PAHs
1104,Phenanthrene,4.278753601,1985/1/8,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,2.2,,NIST,cyclo,Aromatic & PAHs
1105,Phenanthrene,4.204119983,1985/1/8,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,7,,NIST,cyclo,Aromatic & PAHs
1106,Phenol++,3.113943352,108-95-2,OC1=CC=CC=C1,1.7-2,,https://doi.org/10.1016/0043-1354(83)90098-2,alcohol,Oxygenated organics
1107,Phenyl vinylsulfonate,2.3,1562-34-1,C=CS(=O)(=O)Oc1ccccc1,,,https://doi.org/10.1016/j.jece.2024.112473,"sulfide, disulfide",Sulfur-containing organics
1108,"Phenylalanine, negative ion",5.579783597,​63-91-2​, N[C@@H](CC1CCCCC1)C([O-])=O,,,NIST,halogeneted,Halogenated organics
1109,Phenytoin,0.8,57-41-0,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,,,doi.org/10.1016/j.watres.2012.06.006,cyclo,Aromatic & PAHs
1110,Picloram,2.176091259,1918/2/1,C1(=C(C(=NC(=C1Cl)Cl)C(=O)O)Cl)N,1.5~4.9,,https://doi.org/10.1016/0043-1354(83)90098-2,halogeneted,Halogenated organics
1111,Picloram,2.0,1194048-58-2,Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl,5,,https://doi.org/10.1016/j.jece.2024.112473,cyclo,Aromatic & PAHs
1112,Picloram,2.0,1918/2/1,C1(=C(C(=NC(=C1Cl)Cl)C(=O)O)Cl)N,,,doi.org/10.1016/j.watres.2012.06.006,halogeneted,Halogenated organics
1113,Picloram,1.698970004,  1918-02-1,C1(=C(C(=NC(=C1Cl)Cl)C(=O)O)Cl)N,,,NIST,halogeneted,Halogenated organics
1114,Primidone,0.0,125-33-7,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,,,doi.org/10.1016/j.watres.2012.06.006,cyclo,Aromatic & PAHs
1115,Pro,2.681241237,7005-20-1,C1C[C@H](NC1)C(=O)O,,,NIST,halogeneted,Halogenated organics
1116,Pro11anol,0.278753601,525-66-6,OC(CNC(C)C)COC1=CC=CC2=C1C=CC=C2,2~6,,https://doi.org/10.1016/0043-1354(83)90098-2,diol,Polyfunctional / highly functionalized
1117,Prollanol,-0.431798276,525-66-6,OC(CNC(C)C)COC1=CC=CC2=C1C=CC=C2,2,,https://doi.org/10.1016/0043-1354(83)90098-2,diol,Polyfunctional / highly functionalized
1118,Propan-2-ol,0.278754,1803598-00-6,O=C(O)CCc1c[nH]c2ccccc12,6,,https://doi.org/10.1016/j.jece.2024.112473,cyclo,Aromatic & PAHs
1119,Propanal,0.397940009,106588-67-4,CCC=O,2,,https://doi.org/10.1016/0043-1354(83)90098-2,alkane,Aliphatic hydrocarbons
1120,Propanal,0.397940009,123-38-6,CCC=O,2,,10.1016/0043-1354(83)90098-2,alkane,Aliphatic hydrocarbons
1121,Propanolol,5.0,132005-35-7,CC(C)NC[C@H](O)COc1cccc2ccccc12,7,,https://doi.org/10.1016/j.jece.2024.112473,alcohol,Oxygenated organics
1122,Propranolol,5.0,525-66-6,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,,,doi.org/10.1016/j.watres.2012.06.006,alkane,Aliphatic hydrocarbons
1123,Propranolol,5.0,127202-03-3,CC(C)NC[C@H](O)COc1cccc2ccccc12,7,,https://doi.org/10.1016/j.jece.2024.112473,alcohol,Oxygenated organics
1124,Propranolol,5.0,525-66-6,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,7,,doi.org/10.1016/j.watres.2012.06.006,alkane,Aliphatic hydrocarbons
1125,Propyl acetate,-1.52,63573-84-2,CCCOC(C)=O,,,https://doi.org/10.1016/j.jece.2024.112473,alcohol,Oxygenated organics
1126,Propylene oxide,-1.05,15448-47-2,C[C@@H]1CO1,,,https://doi.org/10.1016/j.jece.2024.112473,halogeneted,Halogenated organics
1127,Propylparaben,9.08,94-13-3,CCCOC(=O)C1=CC=C(C=C1)O,12,,"https://doi.org/10.1080/10826070701738787,https://doi.org/10.1016/j.chemosphere.2010.09.012.",alcohol,Oxygenated organics
1128,Propylparaben,6.4,94-13-3,CCCOC(=O)C1=CC=C(C=C1)O,7,,"https://doi.org/10.1080/10826070701738787,https://doi.org/10.1016/j.chemosphere.2010.09.011.",alcohol,Oxygenated organics
1129,Propylparaben,2.6,94-13-3,CCCOC(=O)C1=CC=C(C=C1)O,2,,"https://doi.org/10.1080/10826070701738787,https://doi.org/10.1016/j.chemosphere.2010.09.010.",alcohol,Oxygenated organics
